ano;cod_agrup_prem;cod_premissa;tipo_clb;flag_ativa;valor_m01;valor_m02;valor_m03;valor_m04;valor_m05;valor_m06;valor_m07;valor_m08;valor_m09;valor_m10;valor_m11;valor_m12
2023;SELLER;ass_med;6;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;SELLER;ass_med;7;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;SELLER;dissidio;*;s;0;0;0;0;7;0;0;0;0;0;0;0
2023;SELLER;vr;1;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SELLER;vr;2;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SELLER;vr;3;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SELLER;vr;4;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SELLER;vr;5;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SELLER;vr;6;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SELLER;vr;7;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SELL_CUR;ass_med;1;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SELL_CUR;ass_med;4;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SELL_CUR;ass_med;5;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SELL_CUR;ass_med;6;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SELL_CUR;ass_med;7;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SELL_CUR;dissidio;*;s;0;0;0;0;7;0;0;0;0;0;0;0
2023;SELL_CUR;vr;1;s;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6
2023;SELL_CUR;vr;2;s;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6
2023;SELL_CUR;vr;3;s;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6
2023;SELL_CUR;vr;4;s;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6
2023;SELL_CUR;vr;5;s;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6
2023;SELL_CUR;vr;6;s;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6
2023;SELL_CUR;vr;7;s;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6;349,6
2023;SELL_PA_FL;ass_med;1;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SELL_PA_FL;ass_med;4;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SELL_PA_FL;ass_med;5;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SELL_PA_FL;ass_med;6;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SELL_PA_FL;ass_med;7;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SELL_PA_FL;dissidio;*;s;0;0;0;0;0;7;0;0;0;0;0;0
2023;SELL_PA_FL;vr;1;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SELL_PA_FL;vr;2;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SELL_PA_FL;vr;3;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SELL_PA_FL;vr;4;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
