ano;premissa;ativa;tipoSegmCentroCusto;segmTipoClb;empresa;agrupPremissas;tipoColaborador;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2023;encProvFeriasEmpr;s;e;s;C0217;;1;0,968;0,968;0,968;0,968;0,968;0,968;0,968;0,968;0,968;0,968;0,968;0,968
2023;encProvFeriasEmpr;s;e;s;C0217;;2;0,634;0,634;0,634;0,634;0,634;0,634;0,634;0,634;0,634;0,634;0,634;0,634
2023;encProvFeriasEmpr;s;e;s;C0219;;1;1,933;1,933;1,933;1,933;1,933;1,933;1,933;1,933;1,933;1,933;1,933;1,933
2023;encProvFeriasEmpr;s;e;s;C0219;;2;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6
2023;encProvFeriasEmpr;s;e;s;C0221;;1;0,914;0,914;0,914;0,914;0,914;0,914;0,914;0,914;0,914;0,914;0,914;0,914
2023;encProvFeriasEmpr;s;e;s;C0221;;2;0,58;0,58;0,58;0,58;0,58;0,58;0,58;0,58;0,58;0,58;0,58;0,58
2023;encProvFeriasEmpr;s;e;s;C0304;;1;0,933;0,933;0,933;0,933;0,933;0,933;0,933;0,933;0,933;0,933;0,933;0,933
2023;encProvFeriasEmpr;s;e;s;C0304;;2;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6
2023;encProvFeriasEmpr;s;e;s;C0600;;1;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961
2023;encProvFeriasEmpr;s;e;s;C0600;;2;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628
2023;encProvFeriasEmpr;s;e;s;C2216;;1;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961
2023;encProvFeriasEmpr;s;e;s;C2216;;2;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628
2023;encProvFeriasEmpr;s;e;s;C2546;;1;0,924;0,924;0,924;0,924;0,924;0,924;0,924;0,924;0,924;0,924;0,924;0,924
2023;encProvFeriasEmpr;s;e;s;C2546;;2;0,591;0,591;0,591;0,591;0,591;0,591;0,591;0,591;0,591;0,591;0,591;0,591
2023;encProvFeriasEmpr;s;e;s;C3099;;1;1,989;1,989;1,989;1,989;1,989;1,989;1,989;1,989;1,989;1,989;1,989;1,989
2023;encProvFeriasEmpr;s;e;s;C3099;;2;1,656;1,656;1,656;1,656;1,656;1,656;1,656;1,656;1,656;1,656;1,656;1,656
2023;encProvFeriasEmpr;s;e;s;C3216;;1;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961
2023;encProvFeriasEmpr;s;e;s;C3216;;2;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628
2023;fgts;s;a;s;;*;1;8;8;8;8;8;8;8;8;8;8;8;8
2023;fgts;s;a;s;;*;2;2;2;2;2;2;2;2;2;2;2;2;2
2023;fgts;s;a;s;;*;6;8;8;8;8;8;8;8;8;8;8;8;8
2023;inssEmpr;s;e;s;C0042;;1;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3
2023;inssEmpr;s;e;s;C0042;;2;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3
2023;inssEmpr;s;e;s;C0042;;5;20;20;20;20;20;20;20;20;20;20;20;20
2023;inssEmpr;s;e;s;C0042;;6;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3
2023;inssEmpr;s;e;s;C0217;;1;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783
2023;inssEmpr;s;e;s;C0217;;2;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783
2023;inssEmpr;s;e;s;C0217;;6;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783;9,783
2023;inssEmpr;s;e;s;C0219;;1;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8
2023;inssEmpr;s;e;s;C0219;;2;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8
2023;inssEmpr;s;e;s;C0219;;5;20;20;20;20;20;20;20;20;20;20;20;20
2023;inssEmpr;s;e;s;C0219;;6;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8
2023;inssEmpr;s;e;s;C0221;;1;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3
2023;inssEmpr;s;e;s;C0221;;2;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3
2023;inssEmpr;s;e;s;C0221;;6;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3
